app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
bacnet,"business-systems",management,"network-protocol",1,no,no,no,no,no,no,no,no,no,"tcp/47808|udp/47808"
bacula,"business-systems","storage-backup","client-server",2,no,yes,no,no,yes,no,no,no,no,"tcp/9101,9102,9103"
badongo,"general-internet","file-sharing","browser-based",4,no,yes,no,yes,yes,no,yes,yes,no,"tcp/443|tcp/80"
badoo,collaboration,"social-networking","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,443"
"baidu-hi-base",collaboration,"instant-messaging","client-server",3,no,no,yes,no,yes,no,no,yes,no,"tcp/443,80,6453,dynamic|udp/2400,2500,dynamic"
"baidu-hi-audio-video",collaboration,"voip-video","client-server",2,no,no,no,no,yes,no,no,yes,yes,"udp/dynamic"
"baidu-hi-file-transfer","general-internet","file-sharing","client-server",4,no,no,yes,yes,yes,no,no,yes,no,"tcp/dynamic|udp/dynamic"
"baidu-hi-games",media,gaming,"client-server",3,yes,no,no,no,yes,no,no,yes,no,"tcp/80,dynamic"
"baidu-ime","general-internet","internet-utility","client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,443"
"baidu-webmessenger",collaboration,"instant-messaging","browser-based",3,yes,no,no,no,yes,no,no,yes,no,"tcp/80,443"
baofeng,media,"photo-video","peer-to-peer",4,yes,yes,no,yes,yes,no,yes,yes,no,"tcp/dynamic|udp/dynamic"
"barracuda-backup","business-systems","storage-backup","client-server",2,no,yes,no,yes,no,no,no,no,yes,"tcp/80,443,5120-5129,8000"
"base-crm","business-systems","erp-crm","browser-based",4,no,no,no,yes,yes,yes,yes,no,yes,"tcp/80,443"
batchbook,"business-systems","erp-crm","browser-based",2,no,no,no,yes,yes,no,no,no,yes,"tcp/80,443"
"battle.net",media,gaming,"client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,1119"
battlefield2,media,gaming,"client-server",2,no,yes,no,no,yes,no,no,yes,no,"tcp/dynamic|udp/dynamic"
"bbc-iplayer",media,"photo-video","browser-based",3,yes,yes,no,no,yes,no,no,yes,no,"tcp/80,554,1935"
bbcp,"general-internet","internet-utility","client-server",2,no,yes,no,yes,no,no,no,no,no,"tcp/5031-5039"
"bbn-rcc-mon",networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
beamyourscreen,collaboration,"internet-conferencing","browser-based",3,yes,no,no,yes,yes,no,no,no,yes,"tcp/443,80"
"beats-music",media,"audio-streaming","browser-based",2,no,yes,no,no,yes,no,no,yes,no,"tcp/80,443,1935"
"bebo-base",collaboration,"social-networking","browser-based",3,no,no,no,yes,yes,yes,no,yes,no,"tcp/80,443"
"bebo-mail",collaboration,email,"browser-based",3,no,no,no,yes,yes,no,no,yes,no,"tcp/80"
"bebo-posting",collaboration,"social-networking","browser-based",4,no,no,yes,yes,yes,no,no,yes,no,"tcp/80"
beinsync,networking,"remote-access","client-server",2,no,no,no,yes,no,no,no,yes,no,"tcp/443"
bet365,media,gaming,"browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,443"
bfcp,collaboration,"internet-conferencing","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/dynamic|udp/dynamic"
bfd,networking,infrastructure,"network-protocol",1,no,no,no,no,no,no,no,no,no,"udp/3784,3785"
bgp,networking,routing,"network-protocol",2,no,no,no,no,yes,no,no,yes,no,"tcp/179|udp/179"
"big-brother","business-systems",management,"client-server",1,no,no,no,no,no,no,no,no,no,"tcp/1984"
bigupload,"general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,yes,yes,no,"tcp/21,80"
bime,"business-systems","general-business","client-server",2,no,no,no,yes,yes,no,no,no,yes,"tcp/443|tcp/80"
"bit9-parity","business-systems",management,"client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/443,41002"
"bitbucket-base","business-systems",management,"browser-based",3,no,no,no,yes,yes,yes,no,yes,yes,"tcp/443"
"bitbucket-uploading","business-systems",management,"client-server",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/443"
bitcasa,"general-internet","file-sharing","client-server",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/443,80"
bitcoin,"general-internet","internet-utility","peer-to-peer",4,no,yes,yes,no,yes,no,yes,yes,no,"tcp/3333,8332,8333,18333"
bitdefender,"business-systems",management,"client-server",3,no,yes,no,yes,yes,no,no,no,no,"tcp/80,443"
bittorrent,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,yes,yes,yes,no,"tcp/dynamic|udp/dynamic"
"bittorrent-sync","general-internet","file-sharing","client-server",4,yes,yes,no,yes,yes,no,no,no,no,"tcp/dynamic|udp/dynamic"
blackberry,collaboration,email,"client-server",4,no,no,yes,yes,yes,no,no,yes,no,"tcp/3101,4101|udp/17600-17800"
blackboard,collaboration,"social-business","browser-based",1,no,no,no,yes,no,no,no,no,yes,"tcp/dynamic"
blin,media,"photo-video","peer-to-peer",3,yes,yes,no,no,no,no,yes,yes,no,"udp/dynamic"
"blog-posting",collaboration,"web-posting","browser-based",4,no,no,no,yes,yes,yes,yes,no,no,"tcp/80,443"
"blogger-blog-posting",collaboration,"web-posting","browser-based",3,no,no,no,yes,no,no,no,yes,no,"tcp/80"
blokus,media,gaming,"browser-based",1,no,yes,no,no,no,no,no,yes,no,"tcp/80,443,1935"
"bloomberg-professional","business-systems","general-business","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/8001-8299|udp/48129-48137"
"bluecoat-auth-agent","business-systems","auth-service","client-server",3,yes,no,no,no,yes,yes,no,no,no,"tcp/80,443,16101"
"bluecoat-adn",networking,infrastructure,"client-server",1,no,no,no,no,no,yes,no,no,no,"tcp/3034|tcp/3035"
bluejeans,collaboration,"internet-conferencing","browser-based",2,no,yes,no,no,yes,no,no,no,yes,"tcp/80,443,5061|udp/dynamic"
"bmc-bco-best1","business-systems",management,"client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/6767"
bna,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
